ORF ID,Name,Description,Number of TA Sites,Number of Permissive (P) Sites,Number of Non-Permissive (NP) Sites,Number of Sites Belonging to Essential State,Number of Sites Belonging to Growth-Defect State,Number of Sites Belonging to Non-Essential State,Number of Sites Belonging to Growth-Advantage State,Fraction of Sites with Insertions,Mean Normalized Read-Count At Non-Zero Sites,Final Call
Rv0236A,-,Small secreted protein,4,3,1,0,0,4,0,0.25,36,NE
Rv0237,lpqI,Probable conserved lipoprotein LpqI,14,11,3,0,0,14,0,0.785714286,94.45454545,NE
Rv0238,-,Possible transcriptional regulatory protein (probably TetR-family),13,11,2,0,0,13,0,0.846153846,24.36363636,NE
Rv0239,vapB24,Possible antitoxin VapB24,2,2,0,0,0,2,0,1,106,NE
Rv0240,vapC24,Possible toxin VapC24 Contains PIN domain,9,8,1,0,0,9,0,1,140.7777778,NE
Rv0241c,htdX,Probable 3-hydroxyacyl-thioester dehydratase HtdX,17,14,3,0,0,17,0,0.882352941,66.6,NE
Rv0242c,fabG4,Probable 3-oxoacyl-[acyl-carrier protein] reductase FabG4 (3-ketoacyl-acyl carrier protein reductase),11,10,1,0,0,11,0,0.909090909,47.2,NE
Rv0243,fadA2,Probable acetyl-CoA acyltransferase FadA2 (3-ketoacyl-CoA thiolase) (beta-ketothiolase),20,19,1,0,0,20,0,1,68.4,NE
Rv0244c,fadE5,Probable acyl-CoA dehydrogenase FadE5,23,23,0,0,0,23,0,1,25.39130435,NE
Rv0245,-,Possible oxidoreductase,5,4,1,0,0,5,0,1,107.4,NE
Rv0246,-,Probable conserved integral membrane protein,34,31,3,0,0,34,0,0.970588235,98.90909091,NE
Rv0247c,-,Probable succinate dehydrogenase [iron-sulfur subunit] (succinic dehydrogenase),13,12,1,0,0,13,0,0.846153846,35.63636364,NE
Rv0248c,-,Probable succinate dehydrogenase [iron-sulfur subunit] (succinic dehydrogenase),40,38,2,0,0,40,0,0.975,48.23076923,NE
Rv0249c,-,Probable succinate dehydrogenase [membrane anchor subunit] (succinic dehydrogenase),23,23,0,0,0,23,0,1,47.7826087,NE
Rv0250c,-,hypothetical protein,4,4,0,0,0,4,0,1,59.5,NE
Rv0251c,hsp,Heat shock protein Hsp (heat-stress-induced ribosome-binding protein A),6,6,0,0,0,6,0,1,176.3333333,NE
Rv0252,nirB,Probable nitrite reductase [NAD(P)H] large subunit [FAD flavoprotein] NirB,41,36,5,0,0,41,0,0.951219512,109.1282051,NE
Rv0253,nirD,Probable nitrite reductase [NAD(P)H] small subunit NirD,8,6,2,0,0,8,0,0.875,163.2857143,NE
Rv0254c,cobU,Probable bifunctional cobalamin biosynthesis protein CobU: cobinamide kinase + cobinamide phosphate guanylyltransferase,6,5,1,0,0,6,0,1,204.6666667,NE
Rv0255c,cobQ1,Probable cobyric acid synthase CobQ1,15,13,2,0,0,15,0,0.866666667,100.0769231,NE
Rv0256c,PPE2,PPE family protein PPE2,32,29,3,0,0,32,0,0.96875,163.8387097,NE
Rv0257,-,hypothetical protein,4,4,0,0,0,4,0,1,128,NE
Rv0258c,-,hypothetical protein,9,5,4,0,0,9,0,0.555555556,50.4,NE
Rv0259c,-,hypothetical protein,8,8,0,0,0,8,0,0.875,62.28571429,NE
Rv0260c,-,Possible transcriptional regulatory protein,22,19,3,0,0,22,0,0.909090909,59.4,NE
Rv0261c,narK3,Probable integral membrane nitrite extrusion protein NarK3 (nitrite facilitator),26,25,1,0,0,26,0,1,57.84615385,NE
Rv0262c,aac,Aminoglycoside 2'-N-acetyltransferase Aac (Aac(2')-IC),8,8,0,0,0,8,0,0.875,59.42857143,NE
Rv0263c,-,hypothetical protein,17,15,2,0,0,17,0,0.882352941,40.06666667,NE
Rv0264c,-,hypothetical protein,10,9,1,0,0,10,0,1,153,NE
Rv0265c,-,Probable periplasmic iron-transport lipoprotein,9,9,0,0,0,9,0,1,186,NE
Rv0266c,oplA,Probable 5-oxoprolinase OplA (5-oxo-L-prolinase) (pyroglutamase) (5-OPASE),43,37,6,0,0,43,0,0.976744186,165.3095238,NE
Rv0267,narU,Probable integral membrane nitrite extrusion protein NarU (nitrite facilitator),16,16,0,0,0,3,13,1,264.25,GA
Rv0268c,-,Hypothetical protein,13,13,0,0,0,0,13,1,320.9230769,GA
Rv0269c,-,hypothetical protein,11,10,1,0,0,11,0,0.909090909,177.9,NE
Rv0270,fadD2,Probable fatty-acid-CoA ligase FadD2 (fatty-acid-CoA synthetase) (fatty-acid-CoA synthase),26,25,1,0,0,26,0,0.961538462,201.6,NE
Rv0271c,fadE6,Probable acyl-CoA dehydrogenase FadE6,35,33,2,0,0,35,0,0.971428571,104,NE
Rv0272c,-,hypothetical protein,16,13,3,0,0,16,0,0.8125,55.15384615,NE
Rv0273c,-,Possible transcriptional regulatory protein,17,17,0,0,0,17,0,0.823529412,81,NE
Rv0274,-,hypothetical protein,9,8,1,0,0,9,0,0.888888889,102.75,NE
Rv0275c,-,Possible transcriptional regulatory protein (possibly TetR-family),10,7,3,0,0,10,0,0.8,60.5,NE
Rv0276,-,hypothetical protein,18,16,2,0,0,18,0,0.888888889,136,NE
Rv0277c,vapC25,Possible toxin VapC25 Contains PIN domain,7,7,0,0,0,7,0,1,152.1428571,NE
Rv0278c,PE_PGRS3,PE-PGRS family protein PE_PGRS3,27,17,10,0,0,27,0,0.851851852,51.39130435,NE
Rv0279c,PE_PGRS4,PE-PGRS family protein PE_PGRS4,21,18,3,0,0,21,0,1,53.23809524,NE
Rv0280,PPE3,PPE family protein PPE3,26,23,3,0,0,26,0,0.961538462,168.6,NE
Rv0281,-,Possible S-adenosylmethionine-dependent methyltransferase,14,13,1,0,0,14,0,1,127,NE
Rv0282,eccA3,ESX conserved component EccA3 ESX-3 type VII secretion system protein,24,22,2,23,0,1,0,0.083333333,78.5,ES
Rv0283,eccB3,ESX conserved component EccB3 ESX-3 type VII secretion system protein Possible membrane protein,24,16,8,24,0,0,0,0,0,ES
Rv0284,eccC3,ESX conserved component EccC3 ESX-3 type VII secretion system protein Possible membrane protein,61,56,5,61,0,0,0,0,0,ES
Rv0285,PE5,PE family protein PE5,5,5,0,5,0,0,0,0,0,ES
Rv0286,PPE4,PPE family protein PPE4,32,31,1,30,0,2,0,0.09375,12.66666667,ES
Rv0287,esxG,ESAT-6 like protein EsxG (conserved protein TB9.8),5,5,0,0,5,0,0,0.2,17,GD
Rv0288,esxH,Low molecular weight protein antigen 7 EsxH (10 kDa antigen) (CFP-7) (protein TB10.4),8,7,1,0,8,0,0,0.125,3,GD
Rv0289,espG3,ESX-3 secretion-associated protein EspG3,14,13,1,13,0,1,0,0.071428571,97,ES
Rv0290,eccD3,ESX conserved component EccD3 ESX-3 type VII secretion system protein Probable transmembrane protein,19,15,4,19,0,0,0,0,0,ES
Rv0291,mycP3,Probable membrane-anchored mycosin MycP3 (serine protease) (subtilisin-like protease) (subtilase-like) (mycosin-3),13,10,3,13,0,0,0,0,0,ES
Rv0292,eccE3,ESX conserved component EccE3 ESX-3 type VII secretion system protein Probable transmembrane protein,17,16,1,15,0,2,0,0.176470588,64.66666667,ES
Rv0293c,-,hypothetical protein,27,25,2,0,0,27,0,1,110.3333333,NE
Rv0294,tam,Probable trans-aconitate methyltransferase Tam,15,14,1,0,0,15,0,0.866666667,95.92307692,NE
Rv0295c,-,hypothetical protein,10,7,3,0,0,10,0,0.9,83.55555556,NE
Rv0296c,-,Probable sulfatase,43,37,6,0,0,43,0,1,134.3255814,NE
Rv0297,PE_PGRS5,PE-PGRS family protein PE_PGRS5,14,9,5,0,0,14,0,0.928571429,58.61538462,NE
Rv0298,-,Hypothetical protein,5,5,0,0,0,5,0,1,143,NE
Rv0299,-,Hypothetical protein,3,3,0,0,0,3,0,1,171,NE
Rv0300,vapB2,Possible antitoxin VapB2,5,5,0,0,0,5,0,1,288.6,NE
Rv0301,vapC2,Possible toxin VapC2,8,8,0,0,0,8,0,1,262.25,NE
Rv0302,-,Probable transcriptional regulatory protein (probably TetR/AcrR-family),8,7,1,0,0,8,0,1,165.75,NE
Rv0303,-,Probable dehydrogenase/reductase,13,13,0,0,0,13,0,1,214.7692308,NE
Rv0304c,PPE5,PPE family protein PPE5,137,127,10,0,0,137,0,0.96350365,145.1818182,NE
Rv0305c,PPE6,PPE family protein PPE6,61,56,5,0,0,61,0,0.950819672,137.7758621,NE
Rv0306,-,Putative oxidoreductase,9,9,0,0,0,9,0,1,181.1111111,NE
Rv0307c,-,hypothetical protein,9,8,1,0,0,9,0,1,158.5555556,NE
Rv0308,-,Probable conserved integral membrane protein,16,15,1,0,0,16,0,0.875,143.7857143,NE
Rv0309,-,Possible conserved exported protein,13,12,1,0,0,13,0,1,71.15384615,NE
Rv0310c,-,hypothetical protein,12,11,1,0,0,12,0,0.833333333,66.9,NE
Rv0311,-,hypothetical protein,17,17,0,0,0,17,0,0.941176471,110.75,NE
Rv0312,-,Conserved hypothetical proline and threonine rich protein,22,21,1,0,0,22,0,0.772727273,50.94117647,NE
Rv0313,-,hypothetical protein,6,6,0,0,0,0,6,1,276,GA
Rv0314c,-,Possible conserved membrane protein,7,6,1,0,0,0,7,0.857142857,475.1666667,GA
Rv0315,-,"Possible beta-1,3-glucanase precursor",11,10,1,0,0,5,6,1,219.1818182,GA
Rv0316,-,Possible muconolactone isomerase,8,5,3,0,0,8,0,1,63.25,NE
Rv0317c,glpQ2,Possible glycerophosphoryl diester phosphodiesterase GlpQ2 (glycerophosphodiester phosphodiesterase),14,13,1,0,0,14,0,1,148.3571429,NE
Rv0318c,-,Probable conserved integral membrane protein,8,8,0,0,0,8,0,1,129.25,NE
Rv0319,pcp,Probable pyrrolidone-carboxylate peptidase Pcp (5-oxoprolyl-peptidase) (pyroglutamyl-peptidase I) (PGP-I) (pyrase),9,9,0,0,0,9,0,1,103,NE
Rv0320,-,Possible conserved exported protein,16,15,1,0,0,16,0,1,171.875,NE
Rv0321,dcd,Probable deoxycytidine triphosphate deaminase Dcd (dCTP deaminase),7,7,0,0,0,7,0,1,161.5714286,NE
Rv0322,udgA,Probable UDP-glucose 6-dehydrogenase UdgA (UDP-GLC dehydrogenase) (UDP-GLCDH) (UDPGDH),24,22,2,0,0,24,0,0.958333333,66.52173913,NE
Rv0323c,-,hypothetical protein,13,10,3,0,0,13,0,0.923076923,78,NE
Rv0324,-,Possible transcriptional regulatory protein (possibly ArsR-family),12,11,1,0,0,12,0,0.916666667,78.45454545,NE
Rv0325,-,Hypothetical protein,7,7,0,0,0,7,0,1,246,NE
Rv0326,-,Hypothetical protein,10,9,1,0,0,10,0,0.8,79.5,NE
Rv0327c,cyp135A1,Possible cytochrome P450 135A1 Cyp135A1,25,23,2,0,0,25,0,0.76,97.15789474,NE
Rv0328,-,Possible transcriptional regulatory protein (possibly TetR/AcrR-family),11,10,1,0,0,11,0,0.909090909,71.8,NE
Rv0329c,-,hypothetical protein,9,8,1,0,0,9,0,0.888888889,100.875,NE
Rv0330c,-,Hypothetical protein,10,9,1,0,0,10,0,1,169.6,NE
Rv0331,-,Possible dehydrogenase/reductase,18,16,2,0,0,18,0,1,102.2222222,NE
Rv0332,-,hypothetical protein,13,13,0,0,0,13,0,1,174.9230769,NE
Rv0333,-,hypothetical protein,4,3,1,0,0,4,0,1,213.5,NE
Rv0334,rmlA,Alpha-D-glucose-1-phosphate thymidylyltransferase RmlA (dTDP-glucose synthase) (dTDP-glucose pyrophosphorylase),19,18,1,19,0,0,0,0,0,ES
Rv0335c,PE6,PE family protein PE6,3,3,0,0,0,3,0,0.666666667,7.5,Uncertain
Rv0336,-,Conserved 13E12 repeat family protein,18,18,0,0,0,0,18,1,320.5555556,GA
Rv0337c,aspC,Probable aspartate aminotransferase AspC (transaminase A) (ASPAT),23,20,3,22,0,0,1,0.043478261,175,ES
Rv0338c,-,Probable iron-sulfur-binding reductase,37,35,2,37,0,0,0,0.081081081,1.333333333,ES
Rv0339c,-,Possible transcriptional regulatory protein,30,23,7,0,0,30,0,0.966666667,59.06896552,NE
Rv0340,-,hypothetical protein,6,6,0,0,0,6,0,1,90.66666667,NE
Rv0341,iniB,Isoniazid inductible gene protein IniB,19,12,7,0,0,19,0,0.736842105,102.2142857,NE
Rv0342,iniA,Isoniazid inductible gene protein IniA,27,25,2,0,0,27,0,0.962962963,124.8461538,NE
Rv0343,iniC,Isoniazid inductible gene protein IniC,13,11,2,0,0,13,0,1,48,NE
Rv0344c,lpqJ,Probable lipoprotein LpqJ,12,9,3,0,0,12,0,1,157.5,NE
Rv0345,-,hypothetical protein,7,7,0,0,0,7,0,1,212.4285714,NE
Rv0346c,ansP2,Possible L-asparagine permease AnsP2 (L-asparagine transport protein),29,26,3,0,0,29,0,0.965517241,146.6785714,NE
Rv0347,-,Probable conserved membrane protein,18,15,3,0,17,1,0,0.166666667,36.33333333,GD
Rv0348,-,Possible transcriptional regulatory protein,19,18,1,0,8,11,0,0.789473684,35.06666667,NE
Rv0349,-,Hypothetical protein,8,8,0,0,0,8,0,1,285.375,NE
Rv0350,dnaK,Probable chaperone protein DnaK (heat shock protein 70) (heat shock 70 kDa protein) (HSP70),17,16,1,17,0,0,0,0,0,ES
Rv0351,grpE,Probable GrpE protein (HSP-70 cofactor),10,10,0,7,0,3,0,0.3,65.66666667,ES
Rv0352,dnaJ1,Probable chaperone protein DnaJ1,14,12,2,0,0,14,0,0.785714286,32.81818182,NE
Rv0353,hspR,Probable heat shock protein transcriptional repressor HspR (MerR family),6,5,1,0,0,6,0,1,162.8333333,NE
Rv0354c,PPE7,PPE family protein PPE7,6,6,0,0,0,0,6,1,355.1666667,GA
Rv0355c,PPE8,PPE family protein PPE8,172,149,23,0,0,46,126,0.988372093,233.9823529,GA
Rv0356c,-,hypothetical protein,10,10,0,0,0,10,0,1,91.4,NE
Rv0357c,purA,Probable adenylosuccinate synthetase PurA (imp--aspartate ligase) (ADSS) (ampsase),24,23,1,24,0,0,0,0.041666667,1,ES
Rv0358,-,hypothetical protein,14,14,0,0,11,3,0,0.428571429,20.83333333,GD
Rv0359,-,Probable conserved integral membrane protein,11,11,0,0,0,11,0,1,239.8181818,NE
Rv0360c,-,hypothetical protein,9,8,1,0,0,9,0,1,140.1111111,NE
Rv0361,-,Probable conserved membrane protein,8,8,0,0,0,8,0,1,133,NE
Rv0362,mgtE,Possible Mg2+ transport transmembrane protein MgtE,16,14,2,0,0,16,0,1,144.9375,NE
Rv0363c,fba,Probable fructose-bisphosphate aldolase Fba,18,17,1,16,0,2,0,0.277777778,23,ES
Rv0364,-,Possible conserved transmembrane protein,13,11,2,10,0,3,0,0.230769231,72,ES
Rv0365c,-,hypothetical protein,21,17,4,0,0,21,0,1,172.9047619,NE
Rv0366c,-,hypothetical protein,7,6,1,0,0,7,0,1,120.8571429,NE
Rv0367c,-,Hypothetical protein,2,2,0,0,0,2,0,1,128,NE
Rv0368c,-,hypothetical protein,18,16,2,0,0,18,0,1,119.2222222,NE
Rv0369c,-,Possible membrane oxidoreductase,7,6,1,0,0,7,0,0.857142857,33.5,NE
Rv0370c,-,Possible oxidoreductase,21,19,2,0,0,21,0,0.857142857,32.22222222,NE
Rv0371c,-,hypothetical protein,7,7,0,0,0,7,0,1,11.57142857,NE
Rv0372c,-,hypothetical protein,6,5,1,0,0,6,0,0.833333333,35.2,NE
Rv0373c,-,Probable carbon monoxyde dehydrogenase (large chain),39,39,0,0,0,39,0,0.871794872,58.58823529,NE
Rv0374c,-,Probable carbon monoxyde dehydrogenase (small chain),6,6,0,0,0,6,0,1,34.66666667,NE
Rv0375c,-,Probable carbon monoxyde dehydrogenase (medium chain),8,7,1,0,0,8,0,0.875,46.42857143,NE
Rv0376c,-,hypothetical protein,21,17,4,0,0,21,0,0.904761905,105.4210526,NE
Rv0377,-,Probable transcriptional regulatory protein (probably LysR-family),10,9,1,0,0,10,0,0.9,73.77777778,NE
Rv0378,-,Conserved hypothetical glycine rich protein,3,1,2,0,0,3,0,0.666666667,57,Uncertain
Rv0379,secE2,Possible protein transport protein SecE2,4,3,1,0,0,4,0,1,87.25,NE
Rv0380c,-,Possible RNA methyltransferase (RNA methylase),11,11,0,0,0,11,0,1,33.72727273,NE
Rv0381c,-,Hypothetical protein,17,15,2,0,0,17,0,0.882352941,173,NE
Rv0382c,pyrE,Probable orotate phosphoribosyltransferase PyrE (OPRT) (oprtase),13,9,4,12,0,1,0,0.076923077,57,ES
Rv0383c,-,Possible conserved secreted protein,9,9,0,0,7,2,0,0.222222222,95.5,GD
Rv0384c,clpB,Probable endopeptidase ATP binding protein (chain B) ClpB (ClpB protein) (heat shock protein F84.1),25,20,5,0,25,0,0,0.76,5,GD
Rv0385,-,Probable monooxygenase,20,19,1,0,0,8,12,1,252.55,GA
Rv0386,-,Probable transcriptional regulatory protein (probably LuxR/UhpA-family),44,41,3,0,0,44,0,1,129.25,NE
Rv0387c,-,hypothetical protein,15,14,1,0,0,15,0,1,151.8666667,NE
Rv0388c,PPE9,PPE family protein PPE9,10,10,0,0,0,10,0,1,111.5,NE
Rv0389,purT,Probable phosphoribosylglycinamide formyltransferase 2 PurT (GART 2) (gar transformylase 2) (5'-phosphoribosylglycinamide transformylase 2) (formate-dependent gar transformylase),9,8,1,0,0,9,0,0.888888889,164.875,NE
Rv0390,-,hypothetical protein,8,7,1,0,0,8,0,1,118.125,NE
Rv0391,metZ,Probable O-succinylhomoserine sulfhydrylase MetZ (OSH sulfhydrylase),22,18,4,0,0,22,0,0.772727273,83.82352941,NE
Rv0392c,ndhA,Probable membrane NADH dehydrogenase NdhA,17,16,1,0,0,17,0,0.941176471,94.3125,NE
Rv0393,-,Conserved 13E12 repeat family protein,10,8,2,0,0,10,0,0.9,216.8888889,NE
Rv0394c,-,Possible secreted protein,10,10,0,0,0,10,0,1,163.1,NE
Rv0395,-,Hypothetical protein,8,8,0,0,0,8,0,1,118,NE
Rv0396,-,Hypothetical protein,6,5,1,0,0,6,0,1,74.5,NE
Rv0397,-,Conserved 13E12 repeat family protein,4,4,0,0,0,4,0,1,126,NE
Rv0397A,-,hypothetical protein,8,7,1,0,0,8,0,0.875,95.71428571,NE
Rv0398c,-,Possible secreted protein,6,6,0,0,0,6,0,1,51.66666667,NE
Rv0399c,lpqK,Possible conserved lipoprotein LpqK,25,23,2,0,0,25,0,0.88,62.72727273,NE
Rv0400c,fadE7,Acyl-CoA dehydrogenase FadE7,11,9,2,0,0,11,0,0.909090909,50.8,NE
Rv0401,-,Probable conserved transmembrane protein,3,3,0,0,0,3,0,1,48,NE
Rv0402c,mmpL1,Probable conserved transmembrane transport protein MmpL1,56,52,4,0,0,56,0,0.982142857,126.3090909,NE
Rv0403c,mmpS1,Probable conserved membrane protein MmpS1,7,7,0,0,0,7,0,1,104.8571429,NE
Rv0404,fadD30,Fatty-acid-AMP ligase FadD30 (fatty-acid-AMP synthetase) (fatty-acid-AMP synthase),87,85,2,0,10,77,0,0.804597701,38.85714286,NE
Rv0405,pks6,Probable membrane bound polyketide synthase Pks6,124,119,5,6,37,81,0,0.741935484,71.59782609,ESD
Rv0406c,-,Beta lactamase like protein,15,14,1,0,0,15,0,0.933333333,102.6428571,NE
Rv0407,fgd1,F420-dependent glucose-6-phosphate dehydrogenase Fgd1,20,20,0,0,0,20,0,1,101,NE
Rv0408,pta,Probable phosphate acetyltransferase Pta (phosphotransacetylase),44,42,2,0,0,44,0,0.977272727,65.48837209,NE
Rv0409,ackA,Probable acetate kinase AckA (acetokinase),17,16,1,0,0,17,0,1,87.11764706,NE
Rv0410c,pknG,Serine/threonine-protein kinase PknG (protein kinase G) (STPK G),32,29,3,0,0,32,0,0.96875,39.06451613,NE
Rv0411c,glnH,Probable glutamine-binding lipoprotein GlnH (GLNBP),9,9,0,0,0,9,0,1,52.11111111,NE
Rv0412c,-,Possible conserved membrane protein,23,21,2,0,0,23,0,0.956521739,50.40909091,NE
Rv0413,mutT3,"Possible mutator protein MutT3 (7,8-dihydro-8-oxoguanine-triphosphatase) (8-oxo-dGTPase) (dGTP pyrophosphohydrolase)",8,8,0,0,0,8,0,1,161,NE
Rv0414c,thiE,Thiamine-phosphate pyrophosphorylase ThiE (TMP pyrophosphorylase) (TMP-PPASE) (thiamine-phosphate synthase),10,8,2,9,0,1,0,0.1,95,ES
Rv0415,thiO,Possible thiamine biosynthesis oxidoreductase ThiO,12,12,0,12,0,0,0,0,0,ES
Rv0416,thiS,Possible protein ThiS,4,3,1,4,0,0,0,0,0,ES
Rv0417,thiG,Probable thiamin biosynthesis protein ThiG (thiazole biosynthesis protein),16,12,4,16,0,0,0,0,0,ES
Rv0418,lpqL,Probable lipoprotein aminopeptidase LpqL,28,26,2,0,0,28,0,0.928571429,53.5,NE
Rv0419,lpqM,Possible lipoprotein peptidase LpqM,23,20,3,0,0,23,0,0.956521739,127.4545455,NE
Rv0420c,-,Possible transmembrane protein,10,9,1,0,0,10,0,1,154.7,NE
Rv0421c,-,hypothetical protein,10,9,1,0,2,8,0,0.9,52.77777778,NE
Rv0422c,thiD,Probable phosphomethylpyrimidine kinase ThiD (HMP-phosphate kinase) (HMP-P kinase),14,12,2,0,14,0,0,0.071428571,1,GD
Rv0423c,thiC,Probable thiamine biosynthesis protein ThiC,22,20,2,19,3,0,0,0.090909091,8,ES
Rv0424c,-,Hypothetical protein,9,8,1,0,0,9,0,1,211.8888889,NE
Rv0425c,ctpH,Possible metal cation transporting P-type ATPase CtpH,40,33,7,0,0,40,0,0.925,89.81081081,NE
Rv0426c,-,Possible transmembrane protein,3,3,0,0,0,3,0,1,226.3333333,NE
Rv0427c,xthA,Probable exodeoxyribonuclease III protein XthA (exonuclease III) (EXO III) (AP endonuclease VI),14,14,0,0,0,14,0,0.928571429,92.92307692,NE
Rv0428c,-,GCN5-related N-acetyltransferase,17,14,3,0,0,17,0,0.882352941,95.2,NE
Rv0429c,def,Probable polypeptide deformylase Def (PDF) (formylmethionine deformylase),10,10,0,9,0,1,0,0.2,160,ES
Rv0430,-,hypothetical protein,3,3,0,0,0,3,0,0,0,ES
Rv0431,-,Putative tuberculin related peptide,10,9,1,0,0,10,0,0.8,145.75,NE
Rv0432,sodC,Periplasmic superoxide dismutase [Cu-Zn] SodC,13,13,0,0,0,13,0,1,113.0769231,NE
Rv0433,-,hypothetical protein,24,19,5,0,0,24,0,0.958333333,112.3478261,NE
Rv0434,-,hypothetical protein,14,12,2,0,0,14,0,1,184.7142857,NE
Rv0435c,-,Putative conserved ATPase,24,22,2,0,0,24,0,1,129.4583333,NE
Rv0436c,pssA,Probable CDP-diacylglycerol--serine O-phosphatidyltransferase PssA (PS synthase) (phosphatidylserine synthase),17,17,0,0,0,17,0,1,67,NE
Rv0437c,psd,Possible phosphatidylserine decarboxylase Psd (PS decarboxylase),8,5,3,0,0,8,0,0.875,61.42857143,NE
Rv0438c,moeA2,Probable molybdopterin biosynthesis protein MoeA2,15,15,0,0,0,15,0,1,103,NE
Rv0439c,-,Probable dehydrogenase/reductase,19,17,2,0,0,19,0,0.947368421,155.6111111,NE
Rv0440,groEL2,60 kDa chaperonin 2 GroEL2 (protein CPN60-2) (GroEL protein 2) (65 kDa antigen) (heat shock protein 65) (cell wall protein A) (antigen A),13,13,0,13,0,0,0,0,0,ES
Rv0441c,-,Hypothetical protein,10,9,1,0,0,10,0,1,222.9,NE
Rv0442c,PPE10,PPE family protein PPE10,25,22,3,0,0,25,0,0.92,139.6956522,NE
Rv0443,-,hypothetical protein,15,12,3,0,0,15,0,1,260.2,NE
Rv0444c,rskA,Anti-sigma factor RskA (regulator of sigma K),9,7,2,0,0,9,0,1,85.55555556,NE
Rv0445c,sigK,Alternative RNA polymerase sigma factor SigK,10,9,1,0,0,10,0,0.9,218,NE
Rv0446c,-,Possible conserved transmembrane protein,17,17,0,0,0,17,0,1,143.8823529,NE
Rv0447c,ufaA1,Probable cyclopropane-fatty-acyl-phospholipid synthase UfaA1 (cyclopropane fatty acid synthase) (CFA synthase),27,25,2,0,0,27,0,0.962962963,195.6538462,NE
Rv0448c,-,hypothetical protein,16,16,0,0,0,16,0,1,171.75,NE
Rv0449c,-,hypothetical protein,23,22,1,0,0,23,0,1,129.6521739,NE
Rv0450c,mmpL4,Probable conserved transmembrane transport protein MmpL4,84,79,5,0,0,84,0,0.928571429,59.52564103,NE
Rv0451c,mmpS4,Probable conserved membrane protein MmpS4,15,15,0,0,0,15,0,1,27.8,NE
Rv0452,-,Possible transcriptional regulatory protein,10,8,2,0,0,10,0,1,159.8,NE
Rv0453,PPE11,PPE family protein PPE11,23,19,4,0,0,23,0,0.913043478,180.8095238,NE
Rv0454,-,hypothetical protein,7,7,0,0,0,7,0,1,253.8571429,NE
Rv0455c,-,hypothetical protein,12,11,1,0,0,12,0,0.833333333,30.5,NE
Rv0456c,echA2,enoyl-CoA hydratase EchA2 (enoyl hydrase) (unsaturated acyl-CoA hydratase) (crotonase),12,11,1,0,0,12,0,1,147,NE
Rv0456A,mazF1,Possible toxin MazF1,4,4,0,0,0,4,0,0.75,177.6666667,NE
Rv0456B,mazE1,Possible antitoxin MazE1,13,13,0,0,0,13,0,1,179.2307692,NE
Rv0457c,-,Probable peptidase,39,35,4,0,0,39,0,0.897435897,101.4,NE
Rv0458,-,Probable aldehyde dehydrogenase,23,22,1,0,0,23,0,1,148.3043478,NE
Rv0459,-,hypothetical protein,6,5,1,0,0,6,0,1,118.6666667,NE
Rv0460,-,Conserved hydrophobic protein,3,3,0,0,0,3,0,1,121.3333333,NE
Rv0461,-,Probable transmembrane protein,17,16,1,0,0,4,13,1,273.3529412,GA
Rv0462,lpdC,Dihydrolipoamide dehydrogenase LpdC (lipoamide reductase (NADH)) (lipoyl dehydrogenase) (dihydrolipoyl dehydrogenase) (diaphorase),27,25,2,0,27,0,0,0.851851852,8.217391304,GD
Rv0463,-,Probable conserved membrane protein,4,3,1,0,0,4,0,1,221.75,NE
Rv0464c,-,hypothetical protein,16,13,3,0,0,16,0,1,174.9375,NE
Rv0465c,-,Probable transcriptional regulatory protein,28,27,1,0,0,28,0,0.964285714,210.4444444,NE
Rv0466,-,hypothetical protein,8,7,1,0,0,8,0,1,240.125,NE
Rv0467,icl1,Isocitrate lyase Icl (isocitrase) (isocitratase),19,18,1,0,16,3,0,0.631578947,27,GD
Rv0468,fadB2,3-hydroxybutyryl-CoA dehydrogenase FadB2 (beta-hydroxybutyryl-CoA dehydrogenase) (BHBD),13,12,1,0,0,13,0,0.923076923,122.5,NE
Rv0469,umaA,Possible mycolic acid synthase UmaA,25,25,0,0,0,25,0,0.96,100.0833333,NE
Rv0470c,pcaA,Mycolic acid synthase PcaA (cyclopropane synthase),13,13,0,0,0,13,0,1,60.61538462,NE
Rv0470A,-,Hypothetical protein,11,10,1,0,0,0,11,1,258.5454545,GA
Rv0471c,-,Hypothetical protein,12,11,1,0,0,0,12,1,351.6666667,GA
Rv0472c,-,Probable transcriptional regulatory protein (possibly TetR-family),11,11,0,0,0,0,11,1,106.2727273,GA
